           0.      22.17524         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       677.341         INDEF       772.034         INDEF      -2.04232         INDEF         INDEF            0.      17.73202         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       INDEF       INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF           1           0       INDEF       INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF      17.10247         INDEF         INDEF         INDEF         INDEF         INDEF            0.         INDEF         INDEF         INDEF         INDEF
         168.     0.1298997   0.002206731     0.1178489     0.0199828     0.6549799   0.004152637     -59.90131     0.2749484       677.341     0.8050219       772.034     0.5775942  -0.002144281   1.537072E-4    0.07168242      3.600206      23.31267    0.01860202    0.01829037      32063.87      33963.68      9.831654      9.769156       29821       81324   0.002812917   0.005551978   -0.01718514   0.005949136    0.01004871   0.005315666    0.01370681    0.00553082          82           0          15           0   4.628546E-5      34.78068      74.01039      4960.226     0.1132624      29370.74      22.68312      22.83192      9.826793      9.922045   0.003220382      95.87376          126.    0.02693347    0.03088745   0.003248843   0.003546524
         176.     0.1091135   0.001981347     0.1064081    0.01805093     0.6528809   0.005060666     -59.76257     0.3342455       677.341       1.01702       772.034     0.7351353  -0.001660578   1.353873E-4    0.08153019      3.642321        23.502    0.01989617    0.01953904      32425.78      34172.47      9.819467      9.762502       32841       88455   -0.01247885   0.006991722  -0.009676664   0.007186229   0.005508963   0.006813814   0.008441013   0.007122421          83           2          15           0   1.313229E-4      34.74961      77.77019      5212.208    0.09501435      29685.32      22.87244      23.02267      9.814606      9.910478   0.003220069      105.5797          132.    0.03205771    0.03681247   0.003537416   0.003863777
         184.    0.09235765   0.001546038    0.08488033    0.01425376     0.6487674   0.003858662     -59.67301     0.2512569       677.341     0.8011312       772.034     0.5771047  -0.001708935   1.218262E-4    0.07128783      3.683023      23.68301     0.0183295    0.01802371      32759.06      34307.63      9.808365      9.758216       36154       95619  -0.005858785   0.005292074  -1.981780E-4    0.00547413   0.007494636   0.005050933    0.01365058   0.005260773          85           3          15           0   6.547482E-5      35.46133      81.78555      5481.321      0.080375      29974.29      23.05346      23.20434      9.803504       9.89996   0.003219766      116.2273          138.    0.03786665    0.04350979   0.003854176   0.004212061
         192.    0.07345883   0.001171997    0.06835526    0.01118014     0.6376601   0.005056885     -59.92086     0.3238753       677.341        1.0614       772.034     0.7606006  -0.001086426   9.087466E-5    0.08364552       3.72242      23.93158    0.01746169      0.017186      33097.98      34405.44       9.79719      9.755125       40185      103195  -0.007562748   0.006651483   0.002958095    0.00686551   1.076030E-4    0.00629998    0.02136773   0.006641821          91           1          15           0   2.821410E-5      37.38086      86.68033      5809.372     0.0637774      30267.05      23.30203      23.45547      9.792328      9.889407   0.003219435      129.1826          144.    0.04759917    0.05482262   0.004239527   0.004635884
         200.    0.05045171   0.001544973    0.09134711    0.01513758      0.606804    0.01595649     -59.47174      1.051595       677.341      3.308522       772.034      2.395559  -5.468547E-4   9.822137E-5     0.1796115      3.760603       24.3395    0.03376884    0.03274845      33519.02      34507.66      9.783464      9.751904       47004      110915    0.01318103    0.01890037    0.04893886    0.02130742   -0.01877766    0.01925745   -0.01082983    0.01901801          96           5          15           0   0.001745303       36.4147      94.05801      6303.829    0.04353588      30629.94      23.70995      23.87002      9.778604      9.876468   0.003219001      151.0981          150.     0.0692885    0.08029318   0.004895928   0.005357571
         208.    0.04381673   0.001833461     0.1125178    0.01815034     0.6095137    0.01947635     -60.66303        1.2559       677.341       4.22712       772.034      2.973237  -5.128511E-4   1.011402E-4     0.1972116      3.797658      24.49259    0.04640864    0.04450724      33669.63      34589.79      9.778597      9.749324       50226      118654    0.01713143    0.02375005    0.03718736    0.02502518   0.009464544    0.02382355   -0.02494528    0.02386341          98           4          15           0   0.002933588      38.43024      97.48268      6533.351    0.03776376      30758.72      23.86304      24.02445      9.773736      9.871911   0.003218821      161.4533          156.    0.07977452     0.0925591   0.005207871   0.005700585
         216.    0.04497288   0.001394372    0.08464107    0.01373297      0.624234    0.00942498     -59.99366     0.6047679       677.341      2.189803       772.034      1.551129  -7.174639E-4   9.831915E-5     0.1370371      3.833659      24.46432     0.0341967    0.03315082      33749.29      34661.99      9.776031       9.74706       51941      125665   0.001471365    0.01202206   -0.00385913    0.01229044     0.0173298    0.01235321   0.009552874    0.01190346          97           4          15           0   8.840911E-5      37.98685      99.30561      6655.524    0.03895723      30827.09      23.83476      23.99067      9.771171        9.8695   0.003218731      166.9651          162.    0.07772172    0.08972126   0.005372871   0.005882041
         224.    0.04317367   0.001234379    0.07645622    0.01215722     0.6346894   0.008049443     -60.12181     0.5060896       677.341      1.980217       772.034      1.387095  -6.733230E-4   7.106466E-5     0.1055432      3.868673      24.50865    0.03149429    0.03060722      33851.06      34726.65      9.772762      9.745036       54168      132753  -0.005000848    0.01046928  -0.007763123    0.01073634    0.01757386    0.01066565    0.01297592    0.01026096          97           3          15           0   6.984108E-5      39.55096      101.5408      6805.328    0.03746764      30914.93      23.87909        24.033      9.767901      9.866412   0.003218625      174.1224          168.    0.08095746    0.09328467   0.005586245   0.006116658
         232.    0.03440599   0.001189811    0.07403433    0.01177853     0.6224941    0.01132102     -60.85981     0.7285212       677.341      2.879048       772.034      1.973752  -4.414134E-4   6.691591E-5     0.1515946      3.902761      24.75511    0.03821112    0.03691176      34073.82      34775.54      9.765641      9.743508       59787      140258   0.005381946     0.0144502  -0.008666896    0.01467029    0.01649792    0.01480231  -8.459657E-5    0.01423984          98           6          15           0   4.511454E-4      39.50791      106.9082      7165.057    0.02977832      31107.15      24.12555      24.28239       9.76078      9.859681   0.003218387      192.1813          174.     0.1015769     0.1173603   0.006125057   0.006709073
         240.    0.02814826   0.001361527    0.08453837    0.01361527     0.6113824    0.02419063      -61.6121      1.501196       677.341      6.216915       772.034      4.153265  -2.674132E-4   8.943563E-5     0.3344473      3.935979      24.97306    0.05382908    0.05128669      34229.47      34820.23      9.760693      9.742114       65104      147661    0.02112475    0.02957301    0.01075125     0.0301256   -0.01631581    0.03000282   0.003007197    0.02907677         100           8          15           0   2.254381E-4      38.55276      112.2106      7520.427    0.02432102      31239.53      24.34351      24.50218      9.755832      9.855071   0.003218175      209.2696          180.     0.1241471     0.1436814    0.00663915   0.007274465
