           0.      13.19273         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       352.531         INDEF       332.066         INDEF     -1.191882         INDEF         INDEF            0.      18.29586         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       INDEF       INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF           1           0       INDEF       INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       17.6681         INDEF         INDEF         INDEF         INDEF         INDEF            0.         INDEF         INDEF         INDEF         INDEF
         168.    0.08596607   0.001739172    0.09164498    0.01555563     0.6639658   0.005812852     -60.07198     0.3856984       352.531      1.156769       332.066     0.8237543  -0.001436784   1.408143E-4    0.09800653      3.600206      23.76088    0.02219041    0.02174651      20406.69      21590.51      10.32226      10.26104       29058       81233    0.01692344   0.008325624  -0.009943789   0.008604483   0.001374926   0.008138477    0.00897761   0.008486412          80           0          15           0   3.202827E-4      34.70901      73.04026      4895.204    0.07730472      19305.85      23.13312      23.24843       10.3192      10.37941   0.007277536      211.1835          126.    0.09191947     0.1022175    0.01123703    0.01187772
         176.    0.07044321   0.001475815    0.07909888    0.01336407     0.6606781   0.006538115     -60.59521     0.4264964       352.531      1.342727       332.066     0.9484652  -0.001039295   1.132891E-4     0.1090057      3.642321      23.97709    0.02298872    0.02251107      20646.42      21701.34      10.30958      10.25548       32137       88170     0.0054463   0.009300944  -0.009459116   0.009716826   0.008789413   0.009320127   0.002020433   0.009562279          82           1          15           0   4.647510E-4      35.03186      76.89178      5153.335    0.06321517      19520.67      23.34934      23.46689      10.30652       10.3674   0.007276941      233.5544          132.      0.112164     0.1249881     0.0122829    0.01299119
         184.    0.06753803   0.001705969    0.09188656    0.01544821     0.6719295   0.006678332     -61.11501     0.4368523       352.531      1.488611       332.066      1.031978  -0.001104651   1.512837E-4     0.1369515      3.683023      24.02282    0.02777794    0.02708372      20766.65      21749.58      10.30328      10.25307       33858       95251   0.008493565   0.009876211   -0.01403457    0.01032671  -0.001383258   0.009861386   0.004149838    0.01008335          82           1          15           0   2.082011E-4      35.37918      79.04286      5297.502    0.06075185      19628.28      23.39507      23.51004      10.30022      10.36143   0.007276634      246.0586          138.     0.1169834     0.1300502    0.01286549     0.0136116
         192.    0.05084214   0.001419184      0.078315    0.01316098     0.6530305   0.007391098     -60.70101     0.4722727       352.531      1.623751       332.066      1.134128  -9.025569E-4   1.087028E-4     0.1204387       3.72242      24.33113    0.03073825    0.02989092      21042.77       21815.1      10.28894       10.2498       38602      102820    0.01850934     0.0102771   0.006604526    0.01037726  -0.007888436    0.01004476    0.01043473    0.01024699          86           3          15           0   2.504598E-4      35.40901      84.82192      5684.818    0.04560408      19874.72      23.70338      23.82143      10.28588      10.34788   0.007275886      280.5268          144.      0.155381     0.1732273    0.01447503    0.01532568
         200.     0.0420444   0.002014502     0.1168175    0.01911125     0.6518479    0.01903192      -62.1995      1.216837       352.531       4.39329       332.066      2.968411  -5.093470E-4   1.808107E-4     0.3549852      3.760603      24.53742    0.05330974    0.05081328       21187.6      21829.16      10.28149       10.2491       41747      110711    0.04160203    0.02956733    0.03771836    0.02970725   -0.02530315    0.02730475  -0.006350947     0.0261258          90           1          15           0   0.004351183      37.36265      88.50662      5931.771    0.03761545       20003.5      23.90967      24.03053      10.27843      10.34087    0.00727546      303.3773          150.      0.187882     0.2100031    0.01554697    0.01646723
         208.    0.03657919   0.005669425     0.3433083    0.05496712     0.6370404    0.06089295     -60.68371      3.970207       352.531      14.14415       332.066       9.88438  -4.647018E-4   1.696254E-4     0.3650198      3.797658      24.68861     0.1828457     0.1564463      21364.44      21849.93      10.27246      10.24807       46729      118436     0.1398784    0.09421092   -0.02091761    0.08333947    -0.1152032      0.090332  -0.005722159    0.08029519          94           2          15           0   0.007756723      39.00882      93.98396      6298.866    0.03284127      20159.98      24.06086      24.17789      10.26941      10.33241   0.007274889      339.5748          156.     0.2159351     0.2405118    0.01725777    0.01828879
         216.    0.02477618   0.003550809     0.2001759    0.03387256     0.6189773    0.05289368       -67.608      3.295773       352.531      12.79168       332.066      7.521703  -3.514345E-4   1.938569E-4     0.5516161      3.833659      25.11161     0.1679481     0.1454147       21596.8      21912.25      10.26072      10.24498       52627      125641     0.1160151    0.09028403   -0.01628005    0.06593858   -0.04873436    0.07006098   -0.05721825    0.07078015          91          11          15           0   0.007991937      34.92428       99.9978      6701.917     0.0220283      20369.43      24.48385      24.61149      10.25766      10.32119   0.007274334      382.4276          162.     0.3187762     0.3585408    0.01922637    0.02038482
         224.    0.03126691   0.002472481      0.145623    0.02332534     0.6705794    0.08660536      -60.6753      5.490127       352.531      23.60042       332.066      16.07054  -1.182869E-4   3.654715E-4      3.089702      3.868673      24.85898    0.08944157    0.08263038      21442.81      21897.65      10.26849       10.2457       48978      133182     0.3129478     0.9745489    0.02902807     0.1554588    -0.2361384     0.7395125   -0.04893953     0.1944822          89           2          15           0   0.005642967      38.97662      96.42389      6462.387    0.02797102      20229.78      24.23123      24.35217      10.26543      10.32866   0.007274655      355.9152          168.     0.2526136      0.282379    0.01802205    0.01910266
         232.    0.03393891   0.002074428     0.1200522    0.01912528     0.6904867    0.02682061     -61.07492      1.698923       352.531      8.049144       332.066      5.363148  -2.871995E-4   2.816869E-4     0.9808056      3.902761      24.76995    0.06847677    0.06441449      21444.26      21869.34      10.26842       10.2471       49355      141379    0.09471659     0.1013374    0.03739125     0.0557806   -0.08615299    0.09347651   -0.00241587    0.04032198          85           3          15           0   0.005231533      39.40255      96.80301      6487.798    0.03051326      20230.53       24.1422      24.25772      10.26536      10.32862    0.00727462      358.6544          174.     0.2327247     0.2588516    0.01815952    0.01924896
         240.    0.03721613   0.007029452     0.3884012    0.06404135     0.6904867   6.530872E-4     -61.80503    0.03961981       352.531     0.2022884       332.066     0.1306796         -0.04         INDEF         INDEF      3.935979      24.66986       0.22729     0.1878464      21554.41      21904.97      10.26285      10.24534       52622      149063   0.001802188   0.001730565  -8.569755E-4    0.00123748  -0.001374873   0.001463231   2.654461E-4   0.001015598          83           6          30           0   0.008543729       36.7824       100.141      6711.517     0.0337708      20329.24      24.04211      24.14759      10.25979      10.32333   0.007274321      382.3912          180.     0.2122228     0.2338735    0.01926235    0.02042319
         248.    0.03784228    0.01104837     0.5879142    0.09943532       0.68112    0.05924505     -65.15732      3.471633       352.531      19.08827       332.066      11.09061  -7.076640E-4   4.606792E-4     0.6509858      3.968377      24.65175      0.374852     0.2781222      21696.01      21938.72      10.25574      10.24366       56730      155936    0.08951309     0.1014532     0.0856187     0.1044975     0.0435685    0.08873965    -0.1023636     0.1081205          81          12          15           0       0.02135      34.95799      105.0332      7039.393    0.03456407      20455.93        24.024      24.12238      10.25268      10.31659   0.007273918      412.2385          186.     0.2086996     0.2284931    0.02063025    0.02188086
         256.    0.04116168    0.01185526      0.631447     0.1060367     0.6984689    0.05281602     -66.55159      3.023548       352.531      18.46542       332.066      10.20072  -7.855927E-4   4.787301E-4     0.6093871            4.      24.56046     0.3688251     0.2748046      21671.86      22003.78      10.25695      10.24045       56391      162330    0.08205068    0.09215374    0.07165811    0.09424282    0.04545261     0.0834272   -0.09050291    0.09749554          80          10          16           0    0.01993342      35.46188      105.4308      7066.037    0.03771009      20432.65      23.93271       24.0278      10.25389      10.31782   0.007273886      409.7755          192.     0.1918691     0.2094303    0.02052985    0.02177492
         264.    0.02747192   0.004312201     0.2314295    0.03904864      0.697843    0.03008194     -66.62643      1.717727       352.531      10.81477       332.066      5.962615  -5.032305E-4   1.679007E-4     0.3336458       4.03089      24.99947       0.18539     0.1583022      21770.02       22013.2      10.25205      10.23999       59318      168544    0.06382152    0.04854027   -0.01432109    0.04804529   -0.04537573     0.0471593    0.02095143      0.046333          82          10          15           0   3.767256E-4      35.12574      108.8382      7294.407    0.02492038      20520.97      24.37172      24.47755      10.24899      10.31314   0.007273629       431.042          198.     0.2874683     0.3169009    0.02149788    0.02280636
         272.    0.01843769   0.005184677     0.2963825    0.04999921     0.6387044    0.04566523     -62.92826      2.529797       352.531      14.07224       332.066      8.732747  -4.835387E-4   1.940864E-4     0.4013876      4.061086      25.43243     0.3584804     0.2690417      22027.51      22007.65      10.23928      10.24026       73976      175129    -0.0542041    0.05808268    0.03040475    0.05909291    0.03734495    0.05718155     0.1072017    0.06853091          93          15          15           0   0.003019217      35.13813      122.6201      8218.073    0.01675049      20749.76      24.80467      24.90887      10.23622       10.3011   0.007272732      537.5419          204.     0.4282687     0.4714056    0.02649587    0.02812742
         280.    0.01437031   0.005300645     0.3046435    0.05111757     0.6387044   5.384252E-4     -63.74155    0.03025291       352.531     0.1752588       332.066     0.1054399         -0.04         INDEF         INDEF      4.090623      25.70303     0.4996875     0.3408981      22085.14      22011.26      10.23644      10.24008       77286      181699  -1.678292E-4   6.580162E-4   4.613331E-4   7.756060E-4   9.289785E-4   9.934744E-4   3.182671E-4   6.956668E-4          93          16          30           0   0.003879898       35.5176      126.2265      8459.791    0.01298327      20801.12      25.07528      25.18548      10.23338      10.29842    0.00727253      561.5912          210.     0.5494695     0.6081706    0.02760901    0.02931324
         288.   0.007169121   9.126778E-4     0.0511185   0.008706392     0.6387044   0.003076442     -62.45335     0.1700718       352.531      1.039341       332.066     0.6369367    -0.0011259         INDEF         INDEF      4.119534      26.45803     0.1478455     0.1301058      22120.89      22029.79      10.23469      10.23917       80794      187871    0.01075387   0.009285032    0.00179172   0.003870649    0.01011482   0.008772782   0.003801168    0.00449528          91          19          16           0   0.002266857      34.47306       129.833      8701.486   0.006258164       20832.1      25.83028      25.97782      10.23163       10.2968   0.007272339      587.0791          216.      1.101363      1.261681    0.02881537    0.03059802
         296.   0.005359596   8.568213E-4    0.04671427   0.008083235     0.6387044   8.047560E-5     -62.13638   0.004354973       352.531    0.02768411       332.066    0.01708142         -0.04         INDEF         INDEF      4.147849      26.77386     0.1891297     0.1610202      22143.96      22047.13      10.23355      10.23831       84011      194555   3.108030E-4   2.633455E-4   1.363767E-4   1.420976E-4   9.046873E-5   1.136977E-4   1.124132E-4   1.252543E-4          89          22          33           0   0.002203186      33.39863      133.4395      8943.198   0.004604781      20851.35      26.14611      26.31092       10.2305       10.2958   0.007272158      610.4527          222.      1.473171      1.714653    0.02993136    0.03178683
         304.   0.004734502   8.408358E-4    0.04649736   0.007932429     0.6478348   0.002110577     -61.86013     0.1130347       352.531     0.7589009       332.066     0.4699348  -0.001407375         INDEF         INDEF      4.175595      26.90851     0.2122899     0.1774912      22154.78      22106.95      10.23302      10.23537       85300      201044   0.008513261   0.007170003   0.006678917   0.005840775  -9.804713E-4   0.002419539   0.003591463   0.003642656          89          21          15           0   0.001424051      34.35929      135.3032      9068.109   0.004039952      20860.33      26.28075        26.453      10.22997      10.29533   0.007272068      619.8181          228.      1.667653      1.954355    0.03037571    0.03226058
         312.   0.004260825   8.568411E-4    0.04727238   0.008083423     0.6478348         INDEF     -61.86013         INDEF       352.531         INDEF       332.066         INDEF    -0.0011259         INDEF         INDEF      4.202799      27.02296     0.2437654     0.1989457      22173.75      22163.58      10.23209      10.23259       88454      207664   0.006971161     0.0064686   0.006618578   0.006283633   0.002722376   0.003951604   0.007652817   0.006872606          89          22           1           4   0.001424051      34.19986      138.8638      9306.739   0.003635288      20876.04      26.39521      26.56759      10.22904      10.29451   0.007271904       642.734          234.      1.853003      2.171855    0.03147178    0.03342813
