R_kpc,Vobs_kms,errV_kms,Vgas_kms,Vstars_kms,Vgeom_kms,Vcompact_kms,Vmodel_kms,residual_kms,variant
20.45,114.0,2.0,26.69,13.76238893087033,109.35787216042854,17.801094840812187,114.79452351951623,-0.7945235195162326,baseline_gauss_Rd3__cumulative
21.29,116.0,2.0,26.49,13.47632859649488,109.0938690703016,17.44638851100936,114.40795546309658,1.5920445369034155,baseline_gauss_Rd3__cumulative
22.03,115.0,3.0,26.18,13.237507583392437,108.8401776347663,17.150868678805498,114.02175481470844,0.9782451852915557,baseline_gauss_Rd3__cumulative
22.76,118.0,4.0,25.87,13.019681824189112,108.5668500355109,16.873580250789512,113.62327073234631,4.376729267653687,baseline_gauss_Rd3__cumulative
23.5,115.0,10.0,25.46,12.804480471723178,108.2650375895617,16.605786085323775,113.1778989729509,1.8221010270491007,baseline_gauss_Rd3__cumulative
0.76,77.0,10.0,4.04,20.443934383769548,0.0,77.61731859187746,80.36618815447751,-3.3661881544775127,excess4_raw__local_sigma
1.52,100.0,5.0,7.62,35.606326329876914,68.88549388699099,63.637714068482204,100.60240948718005,-0.6024094871800543,excess4_raw__local_sigma
2.28,110.0,2.0,9.72,41.234768106630206,93.65978508919311,38.37758335971146,109.72592559779575,0.27407440220424917,excess4_raw__local_sigma
3.04,118.0,2.0,12.42,38.85850763385609,106.02701840113949,17.625677430067544,114.96361664211342,3.036383357886578,excess4_raw__local_sigma
3.79,121.0,2.0,13.35,35.2594269907858,110.94815038212653,8.333813464258318,117.47507910953102,3.5249208904689766,excess4_raw__local_sigma
4.55,121.0,2.0,14.78,32.241402740693125,112.54557745076806,2.2094741325198686,118.02264710790332,2.9773528920966754,excess4_raw__local_sigma
5.31,117.0,2.0,17.55,29.842015645312934,112.91284329730898,0.0,118.10105240537764,-1.1010524053776436,excess4_raw__local_sigma
6.07,116.0,2.0,19.2,27.939850935963335,112.86278870761527,0.48565232939192665,117.84532321381576,-1.8453232138157603,excess4_raw__local_sigma
6.83,116.0,2.0,20.33,26.584052685682234,112.61486972380949,1.65382152553575,117.4941052382801,-1.494105238280099,excess4_raw__local_sigma
7.59,116.0,2.0,21.66,25.329433409302712,112.32362297785527,0.0,117.16369777242299,-1.1636977724229922,excess4_raw__local_sigma
8.35,115.0,1.0,22.79,24.06614164944591,112.03784629855335,0.0,116.83767490458486,-1.8376749045848584,excess4_raw__local_sigma
9.11,115.0,1.0,23.92,23.00520783739226,111.78042320550364,0.9076791772740462,116.60657306143581,-1.6065730614358102,excess4_raw__local_sigma
9.86,116.0,1.0,24.84,22.204448529656943,111.58597130447224,1.4852965145818569,116.46329135055782,-0.46329135055782444,excess4_raw__local_sigma
10.64,117.0,1.0,25.46,21.44416081148226,111.42434498587554,0.14431458058468571,116.29045152177494,0.7095484782250594,excess4_raw__local_sigma
11.38,117.0,1.0,26.38,20.66941895417877,111.31189219439358,0.1161453902993706,116.2474950850613,0.7525049149386973,excess4_raw__local_sigma
12.12,118.0,1.0,27.2,19.998746898602622,111.26002432477891,0.09317856751880371,116.26947824992683,1.7305217500731658,excess4_raw__local_sigma
12.86,117.0,1.0,28.13,19.38010974389014,111.27512348900987,0.07388615717650324,116.40036134112232,0.5996386588776801,excess4_raw__local_sigma
13.7,116.0,1.0,28.74,18.7441276222231,111.34602769387686,0.056029022120390015,116.51296469824763,-0.5129646982476288,excess4_raw__local_sigma
14.44,115.0,1.0,28.64,18.226669441412188,111.3837345793675,0.04327507720415412,116.44225728018932,-1.4422572801893239,excess4_raw__local_sigma
15.18,117.0,1.0,28.33,17.74679202233615,111.34720459728982,0.03263780290763149,116.25720865366135,0.7427913463386489,excess4_raw__local_sigma
15.91,116.0,1.0,28.13,17.310277020646502,111.2461050435714,0.02391285383105656,116.04584891206329,-0.04584891206329189,excess4_raw__local_sigma
16.65,115.0,2.0,28.33,16.896888641562924,111.12084316155656,0.01715120234934678,115.91348422364143,-0.9134842236414329,excess4_raw__local_sigma
17.49,115.0,2.0,28.23,16.457482812047516,110.96432877641185,0.00985621002096958,115.67568456012413,-0.6756845601241253,excess4_raw__local_sigma
18.23,115.0,2.0,27.82,16.104801817304885,110.78414112677528,0.004679033134184115,115.35355646301193,-0.3535564630119268,excess4_raw__local_sigma
18.97,114.0,2.0,27.2,15.769465789516811,110.54236750827708,0.0,114.92663340419283,-0.9266334041928275,excess4_raw__local_sigma
19.71,115.0,2.0,26.9,15.454365556509051,110.25323505795942,0.0,114.5348124174474,0.46518758255260195,excess4_raw__local_sigma
20.45,114.0,2.0,26.69,15.159501118281606,109.94322935219031,0.0,114.14762483093331,-0.14762483093331014,excess4_raw__local_sigma
21.29,116.0,2.0,26.49,14.844400885273846,109.57732019720615,0.0,113.70692784190311,2.2930721580968907,excess4_raw__local_sigma
22.03,115.0,3.0,26.18,14.581335553129751,109.24057974103795,0.0,113.27626410096263,1.723735899037365,excess4_raw__local_sigma
22.76,118.0,4.0,25.87,14.341396843591731,108.8914921508242,0.0,112.83744780106645,5.162552198933554,excess4_raw__local_sigma
23.5,115.0,10.0,25.46,14.104348961879474,108.5189356327736,0.0,112.35436640606599,2.645633593934008,excess4_raw__local_sigma
0.76,77.0,10.0,4.04,20.270432054930914,0.0,66.91197733135849,70.0315980546339,6.968401945366097,excess4_raw__local_sqrtRsigma
1.52,100.0,5.0,7.62,35.30414474272965,68.72948854937822,65.24050267139674,101.41258709396601,-1.4125870939660103,excess4_raw__local_sqrtRsigma
2.28,110.0,2.0,9.72,40.88481940491155,93.45107097457982,43.54147791489179,111.33287844604216,-1.3328784460421588,excess4_raw__local_sqrtRsigma
3.04,118.0,2.0,12.42,38.52872563382089,105.80032250919048,21.488497209094884,115.30040266330488,2.6995973366951205,excess4_raw__local_sqrtRsigma
3.79,121.0,2.0,13.35,34.960189447679916,110.72382789962555,10.736071831222123,117.36893391919656,3.6310660808034356,excess4_raw__local_sqrtRsigma
4.55,121.0,2.0,14.78,31.967778380747237,112.33225191411132,2.979432845909589,117.76161978666572,3.238380213334281,excess4_raw__local_sqrtRsigma
5.31,117.0,2.0,17.55,29.588754256653257,112.71736843706941,0.0,117.85033740231152,-0.8503374023115242,excess4_raw__local_sqrtRsigma
6.07,116.0,2.0,19.2,27.702732722130555,112.68949275939964,0.7038246605484123,117.6243960570994,-1.6243960570994034,excess4_raw__local_sqrtRsigma
6.83,116.0,2.0,20.33,26.35844077731118,112.46444037751483,2.4685142965397637,117.31334200537819,-1.313342005378189,excess4_raw__local_sqrtRsigma
7.59,116.0,2.0,21.66,25.114469126881318,112.19606333971112,0.0,116.9950801890983,-0.995080189098303,excess4_raw__local_sqrtRsigma
8.35,115.0,1.0,22.79,23.861898594075203,111.93325569018364,0.0,116.69544992808399,-1.6954499280839883,excess4_raw__local_sqrtRsigma
9.11,115.0,1.0,23.92,22.809968650048106,111.69868637715292,1.4559745960843014,116.49539677696363,-1.4953967769636307,excess4_raw__local_sqrtRsigma
9.86,116.0,1.0,24.84,22.01600517730831,111.5263820814331,2.430100424528462,116.38629374722078,-0.38629374722077614,excess4_raw__local_sqrtRsigma
10.64,117.0,1.0,25.46,21.262169822324314,111.38678815440545,0.2406508772495505,116.22119408159803,0.7788059184019716,excess4_raw__local_sqrtRsigma
11.38,117.0,1.0,26.38,20.494002996713238,111.29451106417629,0.19696060694466472,116.19989477329159,0.8001052267084106,excess4_raw__local_sqrtRsigma
12.12,118.0,1.0,27.2,19.829022759617093,111.26245764473666,0.16052161301463352,116.24280791488339,1.757192085116614,excess4_raw__local_sqrtRsigma
12.86,117.0,1.0,28.13,19.215635816778402,111.29704631357798,0.1291859110322817,116.39410108321378,0.6058989167862165,excess4_raw__local_sqrtRsigma
13.7,116.0,1.0,28.74,18.585051109187223,111.38938678593207,0.09952564829108608,116.5289539926955,-0.5289539926955058,excess4_raw__local_sqrtRsigma
14.44,115.0,1.0,28.64,18.071984460738037,111.44460705736783,0.0778881664442868,116.47640418164852,-1.476404181648519,excess4_raw__local_sqrtRsigma
15.18,117.0,1.0,28.33,17.596179635919242,111.42381704235916,0.05948133249902268,116.30771676934245,0.6922832306575515,excess4_raw__local_sqrtRsigma
15.91,116.0,1.0,28.13,17.16336922298166,111.33668122219302,0.04409514598474345,116.11088094161771,-0.11088094161770812,excess4_raw__local_sqrtRsigma
16.65,115.0,2.0,28.33,16.753489163047398,111.22454168777942,0.03198821164913289,115.99210316240763,-0.9921031624076306,excess4_raw__local_sqrtRsigma
17.49,115.0,2.0,28.23,16.317812455984402,111.08188941728314,0.01861012250971637,115.76869354967627,-0.7686935496762715,excess4_raw__local_sqrtRsigma
18.23,115.0,2.0,27.82,15.96812457268384,110.91274571057747,0.008926775615274798,115.45809041862461,-0.4580904186246073,excess4_raw__local_sqrtRsigma
18.97,114.0,2.0,27.2,15.635634454135765,110.6807475960885,0.0,115.04147492627347,-1.041474926273466,excess4_raw__local_sqrtRsigma
19.71,115.0,2.0,26.9,15.323208394465592,110.40033304030877,0.0,114.65881671686357,0.34118328313643076,excess4_raw__local_sqrtRsigma
20.45,114.0,2.0,26.69,15.030846393673318,110.09831255350213,0.0,114.28001080870989,-0.28001080870988915,excess4_raw__local_sqrtRsigma
21.29,116.0,2.0,26.49,14.718420334003145,109.74074524159086,0.0,113.84807052957966,2.1519294704203418,excess4_raw__local_sqrtRsigma
22.03,115.0,3.0,26.18,14.45758756859043,109.41073597083842,0.0,113.42452725924838,1.5754727407516214,excess4_raw__local_sqrtRsigma
22.76,118.0,4.0,25.87,14.219685156181033,109.06771422143069,0.0,112.99213526360403,5.007864736395973,excess4_raw__local_sqrtRsigma
23.5,115.0,10.0,25.46,13.984649037897048,108.70073797531016,0.0,112.51503208500716,2.4849679149928363,excess4_raw__local_sqrtRsigma
