Galaxy,D_Mpc,R_kpc,Vobs_kms,e_Vobs_kms,Vgas_kms,Vdisk_ML1_kms,Vbul_ML1_kms,SBdisk_Lsolpc2,SBbul_Lsolpc2
NGC2403,3.16,3.39,103.0,2.93,16.15,102.82,0.0,71.99,0.0
NGC2403,3.16,3.49,107.0,2.46,17.15,103.06,0.0,67.49,0.0
NGC2403,3.16,3.59,110.0,2.46,18.14,102.95,0.0,62.39,0.0
NGC2403,3.16,3.69,112.0,3.4,19.24,103.12,0.0,56.77,0.0
NGC2403,3.16,3.79,114.0,5.1,20.24,102.93,0.0,52.43,0.0
NGC2403,3.16,3.9,118.0,5.1,21.03,102.5,0.0,47.97,0.0
NGC2403,3.16,3.99,118.0,4.85,21.83,101.99,0.0,44.58,0.0
NGC2403,3.16,4.47,118.0,5.36,25.72,99.49,0.0,31.94,0.0
NGC2403,3.16,4.97,121.0,2.57,27.81,97.06,0.0,24.17,0.0
NGC2403,3.16,5.47,124.0,0.22,29.41,94.4,0.0,15.97,0.0
NGC2403,3.16,5.96,125.0,0.88,30.7,91.13,0.0,11.31,0.0
NGC2403,3.16,6.46,126.0,0.45,31.7,87.9,0.0,7.9,0.0
NGC2403,3.16,6.96,126.0,0.55,33.29,84.95,0.0,5.51,0.0
NGC2403,3.16,7.45,126.0,0.45,34.99,81.98,0.0,3.88,0.0
NGC2403,3.16,7.95,126.0,0.24,36.58,79.11,0.0,2.71,0.0
NGC2403,3.16,8.45,127.0,1.45,38.38,76.42,0.0,1.9,0.0
NGC2403,3.16,8.94,128.0,1.12,39.97,74.09,0.0,1.34,0.0
NGC2403,3.16,9.44,128.0,1.68,41.47,71.75,0.0,0.93,0.0
NGC2403,3.16,9.94,127.0,2.56,42.57,69.58,0.0,0.65,0.0
NGC2403,3.16,10.43,127.0,1.24,43.96,67.61,0.0,0.46,0.0
NGC2403,3.16,10.93,128.0,0.21,45.06,65.75,0.0,0.32,0.0
NGC2403,3.16,11.43,130.0,1.13,45.76,64.12,0.0,0.22,0.0
NGC2403,3.16,11.92,130.0,2.23,46.15,62.55,0.0,0.16,0.0
NGC2403,3.16,12.42,132.0,2.68,46.65,61.06,0.0,0.11,0.0
NGC2403,3.16,12.92,133.0,2.68,46.95,59.67,0.0,0.08,0.0
NGC2403,3.16,13.42,133.0,3.37,46.75,58.37,0.0,0.05,0.0
NGC2403,3.16,13.91,133.0,3.81,46.25,57.26,0.0,0.04,0.0
NGC2403,3.16,14.41,133.0,2.56,45.95,56.12,0.0,0.03,0.0
NGC2403,3.16,14.91,134.0,0.56,45.66,55.05,0.0,0.02,0.0
NGC2403,3.16,15.4,134.0,0.79,45.26,54.06,0.0,0.01,0.0
NGC2403,3.16,15.9,133.0,0.67,44.76,53.11,0.0,0.01,0.0
NGC2403,3.16,16.4,134.0,2.35,44.16,52.26,0.0,0.01,0.0
NGC2403,3.16,16.89,134.0,4.13,43.36,51.43,0.0,0.0,0.0
NGC2403,3.16,17.39,136.0,3.91,42.67,50.61,0.0,0.0,0.0
NGC2403,3.16,17.89,136.0,6.38,41.87,49.84,0.0,0.0,0.0
NGC2403,3.16,18.38,135.0,8.39,41.07,49.16,0.0,0.0,0.0
NGC2403,3.16,18.88,133.0,7.83,40.27,48.46,0.0,0.0,0.0
NGC2403,3.16,19.38,134.0,6.26,39.87,47.78,0.0,0.0,0.0
NGC2403,3.16,19.87,136.0,5.6,39.87,47.15,0.0,0.0,0.0
NGC2403,3.16,20.37,135.0,5.24,39.87,46.52,0.0,0.0,0.0
NGC2403,3.16,20.87,134.0,3.12,39.87,45.97,0.0,0.0,0.0
